,content,polygon,spans
33,"mercial berth, jetty or mooring of Transnet","[0.5323, 7.326, 2.7326, 7.326, 2.7326, 7.4629, 0.5323, 7.4629]","[{'offset': 65125, 'length': 43}]"
34,45,"[5.019, 7.7975, 5.2116, 7.8025, 5.2116, 7.9394, 5.019, 7.9343]","[{'offset': 65169, 'length': 2}]"
35,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5628000000000001, 9.6628, 0.5628000000000001, 9.6628, 0.6946, 6.6971, 0.6996]","[{'offset': 65172, 'length': 60}]"
36,7.7 TRANSHIPPED CARGO,"[6.3827, 0.796, 8.218, 0.796, 8.218, 0.9430000000000001, 6.3827, 0.9430000000000001]","[{'offset': 65233, 'length': 21}]"
37,The fees for:,"[6.3371, 1.1255, 7.0063, 1.1255, 7.0063, 1.2472, 6.3371, 1.2472]","[{'offset': 65255, 'length': 13}]"
38,· Cargo/Empty containers manifested to the port of discharge for transshipment to an-,"[6.3422, 1.4449, 10.9607, 1.4449, 10.9607, 1.5918999999999999, 6.3422, 1.5869]","[{'offset': 65269, 'length': 85}]"
39,other port; or,"[6.4993, 1.6071, 7.2344, 1.6071, 7.2344, 1.7389999999999999, 6.4993, 1.7339]","[{'offset': 65355, 'length': 14}]"
40,"· Cargo/Empty containers for which transshipping orders have been accepted prior to,","[6.3422, 1.7643, 10.9607, 1.7694, 10.9607, 1.9113, 6.3422, 1.9062999999999999]","[{'offset': 65370, 'length': 84}]"
41,or within 3 days of the discharging vessel having commenced discharge; or,"[6.4943, 1.9215, 10.3117, 1.9215, 10.3117, 2.0634, 6.4943, 2.0634]","[{'offset': 65455, 'length': 73}]"
42,· Cargo/Empty containers transshipped from one vessel to another without touching a,"[6.3371, 2.0939, 10.9607, 2.0939, 10.9607, 2.2307, 6.3371, 2.2307]","[{'offset': 65529, 'length': 83}]"
43,wharf or jetty; or,"[6.5044, 2.251, 7.3916, 2.251, 7.3916, 2.3828, 6.5044, 2.3778]","[{'offset': 65613, 'length': 18}]"
44,· Cargo/Empty containers landed in error or over carried and reshipped onto a different,"[6.3472, 2.4183, 10.9607, 2.4133, 10.9607, 2.5552, 6.3472, 2.5603]","[{'offset': 65632, 'length': 87}]"
45,vessel; or,"[6.5044, 2.5755, 7.0164, 2.5755, 7.0164, 2.7022, 6.5044, 2.7022]","[{'offset': 65720, 'length': 10}]"
46,· Bunker fuel oil supplied to vessels direct from tankers (excluding bunkers barges);,"[6.3371, 2.7377000000000002, 10.6768, 2.7428, 10.6768, 2.8848000000000003, 6.3371, 2.8797]","[{'offset': 65731, 'length': 85}]"
47,. Cargo loaded at a South African port and then discharged from the same vessel due to,"[6.3371, 2.9101, 10.9657, 2.9101, 10.9657, 3.0419, 6.3371, 3.0419]","[{'offset': 65817, 'length': 86}]"
48,container malfunction/damage/unpack/repack;,"[6.4943, 3.0622, 8.9531, 3.0673, 8.9531, 3.2042, 6.4943, 3.2042]","[{'offset': 65904, 'length': 43}]"
49,· Cargo not manifested.,"[6.3371, 3.2346, 7.6552, 3.2346, 7.6552, 3.3664, 6.3422, 3.3715]","[{'offset': 65948, 'length': 23}]"
50,. Cargo not manifested for SA that is discharged due to damage/malfunction and then,"[6.332, 3.407, 10.9607, 3.407, 10.9607, 3.5388, 6.332, 3.5388]","[{'offset': 65972, 'length': 83}]"
51,shipped/ airfreighted to the country of final destination within 90 days of cargo being,"[6.5196000000000005, 3.559, 10.9657, 3.559, 10.9657, 3.6959, 6.5196000000000005, 3.701]","[{'offset': 66056, 'length': 87}]"
52,discharged. Unpack and repack must be done at a Customs bonded warehouse/,"[6.5247, 3.7061, 10.9657, 3.7061, 10.9657, 3.848, 6.5247, 3.848]","[{'offset': 66144, 'length': 73}]"
53,Custom's supervision. Documentary proof must be available to the Authority.,"[6.5196000000000005, 3.8632, 10.4588, 3.8632, 10.4588, 4.0001, 6.5196000000000005, 4.0001]","[{'offset': 66218, 'length': 75}]"
54,Are as follows:,"[6.332, 4.1725, 7.0874, 4.1776, 7.0874, 4.2993, 6.332, 4.2942]","[{'offset': 66294, 'length': 15}]"
55,"Containerised cargo, per container per leg inwards or outwards;","[6.332, 4.3246, 9.6425, 4.3297, 9.6425, 4.4615, 6.332, 4.4615]","[{'offset': 66310, 'length': 63}]"
56,6m / 20' containers ..,"[6.332, 4.6237, 7.3916, 4.6288, 7.3916, 4.7555, 6.332, 4.7555]","[{'offset': 66374, 'length': 22}]"
57,74.64,"[10.6666, 4.6389, 10.9708, 4.6389, 10.9708, 4.7454, 10.6666, 4.7454]","[{'offset': 66397, 'length': 5}]"
58,"12m / 40' , 13,7m / 45' containers.","[6.332, 4.7758, 8.0861, 4.7809, 8.0861, 4.9127, 6.332, 4.9127]","[{'offset': 66403, 'length': 35}]"
59,149.26,"[10.5906, 4.786, 10.9556, 4.791, 10.9556, 4.8975, 10.5906, 4.8924]","[{'offset': 66439, 'length': 6}]"
60,"Empty containers, all sizes ..","[6.332, 4.933, 7.711, 4.933, 7.711, 5.0648, 6.332, 5.0699]","[{'offset': 66446, 'length': 30}]"
61,.73.16,"[10.6463, 4.9381, 10.9657, 4.9431, 10.9657, 5.0496, 10.6463, 5.0445]","[{'offset': 66477, 'length': 6}]"
62,"Other cargo, per ton per leg inwards or outwards.","[6.327, 5.0851, 8.8973, 5.0851, 8.8973, 5.2169, 6.327, 5.222]","[{'offset': 66484, 'length': 49}]"
63,.. 4.31,"[10.6768, 5.0952, 10.9455, 5.1003, 10.9404, 5.1966, 10.6818, 5.2017]","[{'offset': 66534, 'length': 7}]"
64,Fees payable on bulk liquids transshipped direct from one vessel to another or on bulk,"[6.332, 5.3791, 10.9607, 5.3791, 10.9607, 5.5262, 6.332, 5.5312]","[{'offset': 66542, 'length': 86}]"
65,"liquids pumped into private storage installations awaiting the on carrying vessel are, per","[6.332, 5.5363, 10.9556, 5.5363, 10.9556, 5.6884, 6.332, 5.6833]","[{'offset': 66629, 'length': 90}]"
66,ton (kilolitre),"[6.327, 5.6935, 7.0114, 5.6935, 7.0114, 5.8354, 6.327, 5.8354]","[{'offset': 66720, 'length': 15}]"
67,Bulk liquids not transshipped within 90 days of discharging vessel completes cargo work-,"[6.3422, 5.9926, 10.9556, 5.9926, 10.9556, 6.1396, 6.3422, 6.1396]","[{'offset': 66736, 'length': 88}]"
68,"ing, shall for cargo dues purposes be regarded as cargo imported and exported.","[6.332, 6.1548, 10.3726, 6.1548, 10.3726, 6.2917, 6.332, 6.2968]","[{'offset': 66825, 'length': 78}]"
69,"First 100 000 tons (kilolitres), per ton (kilolitre), per consignment, per leg inwards or out-","[6.3371, 6.4539, 10.9556, 6.4539, 10.9556, 6.601, 6.3371, 6.601]","[{'offset': 66904, 'length': 94}]"
70,wards.,"[6.332, 6.6263000000000005, 6.6971, 6.6213, 6.6971, 6.7277000000000005, 6.332, 6.7328]","[{'offset': 66999, 'length': 6}]"
71,4.31,"[10.7122, 6.6162, 10.9353, 6.6162, 10.9353, 6.7277000000000005, 10.7122, 6.7176]","[{'offset': 67006, 'length': 4}]"
72,"Thereafter, per ton (kilolitre), per consignment, per leg inwards or outwards.","[6.327, 6.8139, 10.2205, 6.8088, 10.2205, 6.9559, 6.327, 6.9559]","[{'offset': 67011, 'length': 78}]"
73,2.15,"[10.7122, 6.824, 10.9404, 6.824, 10.9455, 6.9305, 10.7173, 6.9305]","[{'offset': 67090, 'length': 4}]"
74,Perishable cargo and in bond cargo not transshipped within 30 days after the date that the,"[6.332, 7.1181, 10.9607, 7.1181, 10.9607, 7.255, 6.332, 7.255]","[{'offset': 67095, 'length': 90}]"
75,"discharging vessel commenced cargo working, shall for cargo dues purposes be regarded","[6.332, 7.2702, 10.9657, 7.2753, 10.9657, 7.4071, 6.332, 7.4071]","[{'offset': 67186, 'length': 85}]"
76,as cargo imported and exported.,"[6.327, 7.4274000000000004, 8.0152, 7.4223, 8.0152, 7.5592, 6.327, 7.5642]","[{'offset': 67272, 'length': 31}]"
77,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7924, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 67304, 'length': 33}]"
78,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9632, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 67338, 'length': 35}]"
79,46,"[10.8339, 7.7924, 11.0266, 7.7975, 11.0266, 7.9242, 10.8339, 7.9191]","[{'offset': 67374, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8111, 0.5678000000000001, 3.7617000000000003, 0.5678000000000001, 3.7617000000000003, 0.6946, 0.8111, 0.6996]","[{'offset': 67377, 'length': 60}]"
1,7.8 LATE ORDER AND RELATED FEES,"[0.5881000000000001, 1.1154, 3.1533, 1.1154, 3.1533, 1.2573, 0.5881000000000001, 1.2573]","[{'offset': 67438, 'length': 31}]"
2,Late order fee is applicable for cancellations and late submission of cargo documentation,"[0.5526, 1.5918999999999999, 5.2471, 1.597, 5.2471, 1.7339, 0.5526, 1.7288000000000001]","[{'offset': 67470, 'length': 89}]"
3,are as follows:,"[0.5475, 1.7542, 1.2978, 1.7542, 1.2978, 1.8759000000000001, 0.5475, 1.8759000000000001]","[{'offset': 67560, 'length': 15}]"
4,Cargo dues order amendment fee per order ..,"[0.5526, 2.0482, 2.839, 2.0482, 2.839, 2.1902, 0.5526, 2.1902]","[{'offset': 67576, 'length': 43}]"
5,336.53,"[4.8618, 2.0533, 5.2167, 2.0533, 5.2167, 2.18, 4.8568, 2.175]","[{'offset': 67620, 'length': 6}]"
6,"Late, incomplete and non-submission of manifests and outturn reports per manifest/","[0.5526, 2.2054, 5.2421, 2.2054, 5.2421, 2.3474, 0.5526, 2.3474]","[{'offset': 67627, 'length': 82}]"
7,outturn report.,"[0.5475, 2.3626, 1.3333, 2.3626, 1.3333, 2.4944, 0.5475, 2.4944]","[{'offset': 67710, 'length': 15}]"
8,per manifest and outturn report.,"[0.5425, 2.5045, 2.2002, 2.5045, 2.2002, 2.6515, 0.5425, 2.6465]","[{'offset': 67726, 'length': 32}]"
9,1 682.72,"[4.7807, 2.5147, 5.2268, 2.5147, 5.2268, 2.6313, 4.7807, 2.6313]","[{'offset': 67759, 'length': 8}]"
10,Cargo dues order framing fee per order.,"[0.5475, 2.6617, 2.5906000000000002, 2.6617, 2.5906000000000002, 2.8087, 0.5475, 2.8087]","[{'offset': 67768, 'length': 39}]"
11,336.53,"[4.8669, 2.6769, 5.2218, 2.6769, 5.2218, 2.7834, 4.8669, 2.7834]","[{'offset': 67808, 'length': 6}]"
12,All amended orders to be accompanied by the original order (upon request from the Au-,"[0.5475, 2.9659, 5.237, 2.9659, 5.237, 3.1078, 0.5475, 3.1078]","[{'offset': 67815, 'length': 85}]"
13,thority).,"[0.5475, 3.1281, 0.9784, 3.1281, 0.9784, 3.2599, 0.5475, 3.2549]","[{'offset': 67901, 'length': 9}]"
14,7.9.CARGO CONVEYED BY VESSEL PERMITTED TO SERVICE VES-,"[0.5932000000000001, 3.4678, 5.0798, 3.4678, 5.0798, 3.6199, 0.5932000000000001, 3.6199]","[{'offset': 67911, 'length': 54}]"
15,SELS WITHIN AND OUTSIDE THE PORT,"[0.5932000000000001, 3.6351, 3.3409, 3.6351, 3.3409, 3.7771, 0.5932000000000001, 3.7771]","[{'offset': 67966, 'length': 32}]"
16,Per trip,"[0.6134000000000001, 4.3347, 1.0038, 4.3449, 0.9987, 4.4615, 0.6134000000000001, 4.4513]","[{'offset': 67999, 'length': 8}]"
17,.. 398.96,"[4.8213, 4.3398, 5.2218, 4.3398, 5.2218, 4.4463, 4.8213, 4.4412]","[{'offset': 68008, 'length': 9}]"
18,Administrative fees,"[0.6084, 4.6339, 1.6375000000000002, 4.6339, 1.6375000000000002, 4.7606, 0.6084, 4.7606]","[{'offset': 68018, 'length': 19}]"
19,for photocopies per page ..,"[0.6134000000000001, 4.791, 1.9518, 4.7961, 1.9518, 4.933, 0.6134000000000001, 4.9228000000000005]","[{'offset': 68038, 'length': 27}]"
20,10.54,"[4.9328, 4.8012, 5.2319, 4.7961, 5.2319, 4.8975, 4.9379, 4.8975]","[{'offset': 68066, 'length': 5}]"
21,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6311, 0.5628000000000001, 9.5817, 0.5628000000000001, 9.5817, 0.6946, 6.6311, 0.6996]","[{'offset': 68072, 'length': 60}]"
22,SECTION 8,"[6.4334, 0.9683, 7.2091, 0.9683, 7.2091, 1.1154, 6.4385, 1.1154]","[{'offset': 68133, 'length': 9}]"
23,BUSINESS PROCESSES AND DOCUMENTATION,"[6.4030000000000005, 1.2827, 8.7908, 1.2827, 8.7908, 1.4145, 6.4030000000000005, 1.4145]","[{'offset': 68143, 'length': 36}]"
24,8.1 CARGO DUES ORDER,"[6.4284, 1.4855, 8.1825, 1.4855, 8.1825, 1.6376, 6.4284, 1.6376]","[{'offset': 68180, 'length': 20}]"
25,Cargo Dues Orders must be presented at the port where the consignment will be landed/,"[6.3979, 1.8302, 11.0418, 1.8252000000000002, 11.0418, 1.9671, 6.3979, 1.9722]","[{'offset': 68201, 'length': 85}]"
26,shipped/transhipped.,"[6.3929, 1.9823, 7.5133, 1.9772, 7.5133, 2.1192, 6.3929, 2.1243]","[{'offset': 68287, 'length': 20}]"
27,"A cargo dues order is valid upon invoicing. Therefore, cargo dues orders submitted online","[6.3929, 2.2865, 11.0266, 2.2865, 11.0266, 2.4285, 6.3929, 2.4335]","[{'offset': 68308, 'length': 89}]"
28,"but is in a pending status for reasons of ""Credit not Available"" or ""Awaiting Payment"" will","[6.3979, 2.4437, 11.0215, 2.4386, 11.0215, 2.5806, 6.3979, 2.5806]","[{'offset': 68398, 'length': 91}]"
29,"not be considered valid. Upon invoicing, late cargo dues order fees will be charged, appli-","[6.3979, 2.5907, 11.0266, 2.5907, 11.0266, 2.7327, 6.3979, 2.7327]","[{'offset': 68490, 'length': 91}]"
30,cable from the invoicing date. The original order will be cancelled and replaced with a,"[6.3929, 2.7428, 11.0316, 2.7428, 11.0316, 2.8848000000000003, 6.3929, 2.8848000000000003]","[{'offset': 68582, 'length': 87}]"
31,new cargo dues order with the applicable late cargo dues order fees.,"[6.4030000000000005, 2.9, 9.9214, 2.8949, 9.9214, 3.0318, 6.4030000000000005, 3.0419]","[{'offset': 68670, 'length': 68}]"
32,Cargo dues is payable by the importer/exporter of cargo who may appoint a clearing and,"[6.3979, 3.2042, 11.0215, 3.2042, 11.0215, 3.341, 6.3979, 3.341]","[{'offset': 68739, 'length': 86}]"
33,forwarding agent to undertake transactions on their behalf. The account number appear-,"[6.3929, 3.3512, 11.0164, 3.3512, 11.0164, 3.4931, 6.3929, 3.4881]","[{'offset': 68826, 'length': 86}]"
34,ing on the cargo dues order will be debited accordingly.,"[6.3929, 3.5084, 9.2268, 3.5084, 9.2268, 3.6503, 6.3929, 3.6503]","[{'offset': 68913, 'length': 56}]"
35,"In instances where cargo dues orders have not been received, such charges will be billed","[6.4030000000000005, 3.8075, 11.0266, 3.8075, 11.0266, 3.9444, 6.4030000000000005, 3.9494]","[{'offset': 68970, 'length': 88}]"
36,to the container operator for container traffic and the vessel agent for bulk and breakbulk,"[6.3929, 3.9697, 11.0215, 3.9646, 11.0215, 4.1015, 6.3929, 4.1015]","[{'offset': 69059, 'length': 91}]"
37,traffic.,"[6.3929, 4.1218, 6.7376000000000005, 4.1218, 6.7427, 4.2384, 6.4030000000000005, 4.2384]","[{'offset': 69151, 'length': 8}]"
38,"ISO containers filled with MT returns of whatever nature being returned for filling, provid-","[6.3929, 4.4209, 11.0215, 4.426, 11.0215, 4.5629, 6.3929, 4.5578]","[{'offset': 69160, 'length': 92}]"
39,ed a certificate is given to the effect that they are being returned to the original sender for,"[6.3929, 4.573, 11.0215, 4.573, 11.0215, 4.715, 6.3929, 4.715]","[{'offset': 69253, 'length': 95}]"
40,"refilling, as well as new MT ISO containers will be regarded as an empty container. Tran-","[6.4030000000000005, 4.7251, 11.0266, 4.7251, 11.0266, 4.8671, 6.4030000000000005, 4.8671]","[{'offset': 69349, 'length': 89}]"
41,shipments are excluded from this ruling.,"[6.3979, 4.8823, 8.4512, 4.8823, 8.4562, 5.0192, 6.3979, 5.0192]","[{'offset': 69439, 'length': 40}]"
42,"Cargo Dues Orders can be grouped and submitted as a list, i.e. one order supported by a","[6.3979, 5.1814, 11.0266, 5.1814, 11.0266, 5.3284, 6.3979, 5.3234]","[{'offset': 69480, 'length': 87}]"
43,"list containing the relevant container numbers, to the relevant Port Revenue Offices, as","[6.3979, 5.3335, 11.0367, 5.3335, 11.0367, 5.4755, 6.3979, 5.4755]","[{'offset': 69568, 'length': 88}]"
44,follows (Imports and Exports separately):,"[6.3929, 5.4856, 8.4917, 5.4856, 8.4917, 5.6326, 6.3929, 5.6326]","[{'offset': 69657, 'length': 41}]"
45,"· Containers: On a per vessel, per container operator basis, separated between","[6.3979, 5.8101, 11.0266, 5.8101, 11.0266, 5.9571000000000005, 6.3979, 5.9571000000000005]","[{'offset': 69699, 'length': 78}]"
46,"deepsea, coastwise and transshipment movements.","[6.5805, 5.9672, 9.2978, 5.9622, 9.2978, 6.1041, 6.5855, 6.1092]","[{'offset': 69778, 'length': 47}]"
47,"· Breakbulk and Bulk: On a per vessel, per agent basis, separated between deepsea,","[6.3979, 6.2866, 11.0316, 6.2866, 11.0316, 6.4337, 6.3979, 6.4286]","[{'offset': 69826, 'length': 82}]"
48,coastwise and transshipment movements.,"[6.5754, 6.4438, 8.7908, 6.4438, 8.7908, 6.5807, 6.5754, 6.5807]","[{'offset': 69909, 'length': 38}]"
49,A single Cargo Dues Order can also be submitted for multiple containers provided that the,"[6.4182, 6.6517, 11.0316, 6.6517, 11.0316, 6.7936, 6.4182, 6.7936]","[{'offset': 69948, 'length': 89}]"
50,'container numbers are indicated on the order and import and export orders are sub-,"[6.4081, 6.8038, 11.0266, 6.8088, 11.0266, 6.9508, 6.4081, 6.9457]","[{'offset': 70038, 'length': 83}]"
51,"mitted separately. Orders should further be separated between deepsea, coastwise and","[6.4284, 6.9559, 11.0316, 6.9559, 11.0316, 7.0978, 6.4284, 7.0978]","[{'offset': 70122, 'length': 84}]"
52,transhipments.,"[6.4284, 7.1232, 7.2091, 7.1232, 7.2091, 7.2499, 6.4284, 7.2499]","[{'offset': 70207, 'length': 14}]"
53,Any cancellations and amendments on this order will be applicable per cargo dues order.,"[6.4284, 7.4172, 11.0215, 7.4223, 11.0215, 7.5592, 6.4284, 7.5592]","[{'offset': 70222, 'length': 87}]"
54,Any applicable fees will be levied per cargo dues order.,"[6.4284, 7.5744, 9.2268, 7.5693, 9.2319, 7.7113, 6.4284, 7.7163]","[{'offset': 70310, 'length': 56}]"
55,Tariff Book April 2024 - March 2025,"[6.4436, 7.7873, 8.9683, 7.7823, 8.9683, 7.9394, 6.4436, 7.9496]","[{'offset': 70367, 'length': 35}]"
56,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7924, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 70403, 'length': 33}]"
57,47,"[5.0241, 7.7975, 5.2116, 7.8025, 5.2066, 7.9394, 5.019, 7.9242]","[{'offset': 70437, 'length': 2}]"
58,48,"[10.8339, 7.7975, 11.0215, 7.7975, 11.0266, 7.9191, 10.8339, 7.9191]","[{'offset': 70440, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8111, 0.5628000000000001, 3.7617000000000003, 0.5628000000000001, 3.7617000000000003, 0.6946, 0.8111, 0.6946]","[{'offset': 70443, 'length': 60}]"
1,INCORRECT OR INCOMPLETE DECLARATIONS,"[0.5779000000000001, 1.0343, 3.199, 1.0343, 3.199, 1.1762, 0.583, 1.1762]","[{'offset': 70504, 'length': 36}]"
2,An incorrect or incomplete declaration of cargo dues order will result in that cargo dues,"[0.5729000000000001, 1.3537, 5.2015, 1.3537, 5.2015, 1.4956, 0.5729000000000001, 1.4905]","[{'offset': 70541, 'length': 89}]"
3,order being null and void. A new cargo dues order will be processed with late cargo dues,"[0.5729000000000001, 1.5058, 5.2066, 1.5058, 5.2066, 1.6477, 0.5729000000000001, 1.6477]","[{'offset': 70631, 'length': 88}]"
4,order fees and penalties applicable at the date of the new cargo dues order together with,"[0.5729000000000001, 1.6578, 5.2066, 1.6578, 5.2066, 1.7998, 0.5729000000000001, 1.8049]","[{'offset': 70720, 'length': 89}]"
5,a cancellation fee of the original order.,"[0.5729000000000001, 1.8099, 2.5551, 1.8099, 2.5551, 1.9519000000000002, 0.5729000000000001, 1.9519000000000002]","[{'offset': 70810, 'length': 41}]"
6,"Upon following due process, submissions or declarations deemed fraudulent will attract a","[0.5779000000000001, 2.1141, 5.2066, 2.1141, 5.2066, 2.2561, 0.5779000000000001, 2.2612]","[{'offset': 70852, 'length': 88}]"
7,"penalty of 100% of cargo dues, plus interest and any legal action deemed necessary.","[0.5729000000000001, 2.2713, 4.8517, 2.2713, 4.8517, 2.4183, 0.5729000000000001, 2.4183]","[{'offset': 70941, 'length': 83}]"
8,8.1.1 TYPES OF DOCUMENTATION,"[0.5678000000000001, 2.6313, 2.9607, 2.6313, 2.9607, 2.7834, 0.5678000000000001, 2.7834]","[{'offset': 71025, 'length': 28}]"
9,The following documentation must be provided to the Authority:,"[0.5171, 2.9709000000000003, 3.8378, 2.9709000000000003, 3.8378, 3.1129, 0.5171, 3.1078]","[{'offset': 71054, 'length': 62}]"
10,Container Import and Exports:,"[0.5779000000000001, 3.2903000000000002, 2.1698, 3.2802, 2.1698, 3.4577, 0.5779000000000001, 3.4678]","[{'offset': 71117, 'length': 29}]"
11,Bulk and Breakbulk Exports:,"[2.9049, 3.3056, 4.3751, 3.3056, 4.3751, 3.4475, 2.9049, 3.4424]","[{'offset': 71147, 'length': 27}]"
12,· Cargo Dues Order,"[0.583, 3.5084, 1.6882000000000001, 3.5084, 1.6882000000000001, 3.6351, 0.583, 3.6402]","[{'offset': 71175, 'length': 18}]"
13,· Cargo Dues Order,"[2.9049, 3.5084, 4.0152, 3.5084, 4.0152, 3.6351, 2.9049, 3.6402]","[{'offset': 71194, 'length': 18}]"
14,· Vessel Manifest,"[0.583, 3.6807, 1.5918999999999999, 3.6757, 1.597, 3.7973, 0.583, 3.8024]","[{'offset': 71213, 'length': 17}]"
15,· Mates Receipt,"[2.9151, 3.6807, 3.8428, 3.6807, 3.8428, 3.8075, 2.9151, 3.8075]","[{'offset': 71231, 'length': 15}]"
16,· Empty Container List,"[0.5881000000000001, 3.843, 1.8454000000000002, 3.843, 1.8454000000000002, 3.9748, 0.5881000000000001, 3.9748]","[{'offset': 71247, 'length': 22}]"
17,· Vessel Manifest,"[2.9151, 3.848, 3.9189, 3.843, 3.9189, 3.9646, 2.9151, 3.9697]","[{'offset': 71270, 'length': 17}]"
18,· Draft survey for bulk exports,"[2.9151, 4.0153, 4.5526, 4.0204, 4.5526, 4.1522, 2.9151, 4.1472]","[{'offset': 71288, 'length': 31}]"
19,Bulk and Breakbulk Imports:,"[0.5881000000000001, 4.3652, 2.0786, 4.3702, 2.0786, 4.502, 0.5881000000000001, 4.497]","[{'offset': 71320, 'length': 27}]"
20,Coastal Cargo:,"[2.9049, 4.3652, 3.6603, 4.3702, 3.6552, 4.502, 2.9049, 4.497]","[{'offset': 71348, 'length': 14}]"
21,· Cargo Dues Order,"[0.5881000000000001, 4.5629, 1.6933, 4.5578, 1.6933, 4.6896, 0.5881000000000001, 4.6947]","[{'offset': 71363, 'length': 18}]"
22,· Cargo Dues Order per inward and out-,"[2.9049, 4.5527, 5.1609, 4.5527, 5.1609, 4.6947, 2.9049, 4.6947]","[{'offset': 71382, 'length': 38}]"
23,"wards movement, supported by an","[3.0874, 4.715, 5.166, 4.715, 5.166, 4.862, 3.0874, 4.8519]","[{'offset': 71421, 'length': 31}]"
24,"inwards or outwards list, differentiated","[3.0874, 4.8671, 5.166, 4.8671, 5.166, 4.9989, 3.0874, 4.9989]","[{'offset': 71453, 'length': 40}]"
25,"between full, empty, 6m (20'), 12m","[3.0874, 5.0141, 5.1711, 5.0141, 5.1711, 5.1611, 3.0874, 5.1561]","[{'offset': 71494, 'length': 34}]"
26,"(40') or 13,75m (45').","[3.1026, 5.1561, 4.1977, 5.1561, 4.1977, 5.3132, 3.1026, 5.3183]","[{'offset': 71529, 'length': 22}]"
27,· Bill of Lading / Delivery Order,"[0.5881000000000001, 4.7302, 2.2763, 4.7302, 2.2763, 4.8671, 0.5881000000000001, 4.8671]","[{'offset': 71552, 'length': 33}]"
28,· Vessel Manifest,"[0.5881000000000001, 4.9076, 1.597, 4.9026, 1.597, 5.0242, 0.5881000000000001, 5.0242]","[{'offset': 71586, 'length': 17}]"
29,· Landing Order,"[0.5881000000000001, 5.0749, 1.5108000000000001, 5.0749, 1.5108000000000001, 5.2068, 0.5881000000000001, 5.2017]","[{'offset': 71604, 'length': 15}]"
30,Transshipment Cargo:,"[0.5475, 5.6428, 1.7034, 5.6478, 1.7034, 5.7797, 0.5475, 5.7797]","[{'offset': 71620, 'length': 20}]"
31,"· Cargo Dues Order per inward and outwards movement, supported by an inwards or","[0.5526, 5.805, 5.2116, 5.7999, 5.2116, 5.947, 0.5526, 5.947]","[{'offset': 71641, 'length': 79}]"
32,"outwards list, differentiated between full, empty, 6m (20'), 12m (40') or 13,75m (45').","[0.7351000000000001, 5.9571000000000005, 5.1001, 5.9571000000000005, 5.1001, 6.1092, 0.7351000000000001, 6.1092]","[{'offset': 71721, 'length': 87}]"
33,"At the request of the Authority, including relevant Customs documentation must be pro-","[0.5526, 6.1903, 5.2066, 6.1903, 5.2066, 6.3424, 0.5526, 6.3424]","[{'offset': 71809, 'length': 86}]"
34,vided to substantiate cargo declarations.,"[0.5526, 6.3525, 2.6311999999999998, 6.3525, 2.6311999999999998, 6.4894, 0.5526, 6.4844]","[{'offset': 71896, 'length': 41}]"
35,Supporting documentation: Vehicles,"[0.5475, 6.6618, 2.4588, 6.6567, 2.4588, 6.7936, 0.5475, 6.8038]","[{'offset': 71938, 'length': 34}]"
36,"In addition to the types of documentation listed in Section 8, Clause 1.1 above please in-","[0.5475, 6.8595, 5.1964, 6.8595, 5.1964, 7.0015, 0.5475, 7.0015]","[{'offset': 71973, 'length': 90}]"
37,clude any of the following documentation below specifying the length/s of the vehicle/s,"[0.5475, 7.0116, 5.2015, 7.0116, 5.2015, 7.1587, 0.5475, 7.1587]","[{'offset': 72064, 'length': 87}]"
38,when passing Cargo Dues Orders for vehicles:,"[0.5526, 7.1739, 2.8847, 7.1637, 2.8847, 7.3057, 0.5526, 7.3108]","[{'offset': 72152, 'length': 44}]"
39,49,"[5.019, 7.8025, 5.2015, 7.8076, 5.2015, 7.9394, 5.019, 7.9293]","[{'offset': 72197, 'length': 2}]"
40,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6261, 0.5628000000000001, 9.5817, 0.5628000000000001, 9.5817, 0.6946, 6.6261, 0.6996]","[{'offset': 72200, 'length': 60}]"
41,· Post load / Delivery Report,"[6.4081, 0.8974000000000001, 7.9797, 0.8974000000000001, 7.9797, 1.0343, 6.4081, 1.0343]","[{'offset': 72261, 'length': 29}]"
42,· Certificate and list of Measurement and Weight,"[6.4081, 1.0697, 9.0291, 1.0697, 9.0291, 1.2066, 6.4081, 1.2016]","[{'offset': 72291, 'length': 48}]"
43,· Export Certificate,"[6.4081, 1.2979, 7.493, 1.2979, 7.493, 1.4246, 6.4081, 1.4246]","[{'offset': 72340, 'length': 20}]"
44,· Packing Specification,"[6.4081, 1.4703, 7.6654, 1.4703, 7.6654, 1.597, 6.4081, 1.6021]","[{'offset': 72361, 'length': 23}]"
